BLOCK,TAZ,HHS1BASE,HHS2BASE,HHS3BASE,HHS4BASE,POPBASE
410159504001998,123,0,0,0,0,0
410159504002000,147,6,12,4,3,54
410159504002001,147,0,0,0,0,0
410159504002002,147,15,9,2,1,46
410159504002003,147,25,34,2,1,103
410159504002004,147,22,17,0,0,56
410159504002005,147,61,118,8,9,371
410159504002006,147,0,1,0,0,2
410159504002007,147,4,6,2,3,36
410159504002008,138,0,0,0,0,0
410159504002009,138,28,21,4,5,108
410159504002010,136,0,0,0,0,0
410159504002011,136,0,0,0,0,0
410159504002012,136,3,1,0,1,11
410159504002013,137,0,0,0,0,0
410159504002014,147,0,0,0,0,0
410159504002015,148,1,1,0,0,3
410159504002016,148,0,0,0,0,0
410159504002017,148,1,0,0,0,1
410159504002018,148,29,23,3,5,106
410159504002019,147,0,0,0,0,0
410159504002020,138,0,0,0,0,0
410159504002021,138,0,0,0,0,0
410159504002999,136,0,0,0,0,0
410159504003000,158,7,17,3,3,63
410159504003001,153,7,10,3,6,63
410159504003002,153,1,0,0,0,1
410159504003003,153,2,0,0,0,2
410159504003004,157,1,7,2,0,21
410159504003005,154,7,19,6,1,67
410159504003006,150,7,15,0,0,37
410159504003007,146,11,16,6,5,82
410159504003008,146,0,0,0,0,0
410159504003009,150,1,3,1,1,15
410159504003010,150,43,68,9,4,223
410159504003011,150,4,10,1,1,32
410159504003012,150,0,0,0,0,0
410159504003013,150,3,1,2,2,21
410159504003014,150,0,0,0,0,0
410159504003015,150,0,5,2,0,16
410159504003016,150,2,5,2,3,30
410159504003017,150,3,15,1,0,36
410159504003018,149,1,1,2,0,9
410159504003019,149,7,10,0,2,35
410159504003020,149,7,16,1,5,65
410159504003021,149,1,1,1,1,10
410159504003022,156,0,4,0,1,12
410159504003023,156,1,2,0,1,11
410159504003024,156,3,29,0,5,83
410159504003025,156,0,0,0,0,0
410159504003026,156,0,1,0,0,2
410159504003027,156,1,2,1,1,13
410159504003028,157,0,3,1,0,9
410159504003029,157,13,25,1,0,66
410159504003030,156,0,1,0,1,6
410159504003031,156,0,2,1,0,7
410159504003032,156,0,1,1,0,5
410159504003033,150,1,0,0,0,1
410159504003034,150,0,0,0,1,4
410159504003035,150,8,6,4,3,44
410159504004064,143,0,0,0,1,6
410159504004066,159,0,0,0,0,0
410159504004095,159,15,17,4,8,100
410159504004118,161,0,1,0,1,6
410159504004119,161,0,1,0,0,2
410159504004120,160,1,4,1,3,26
410159504004121,159,9,14,2,3,58
410159504004122,159,3,10,0,1,28
410159504004123,159,0,2,1,1,11
410159504004124,159,1,8,2,0,23
410159504004125,159,0,0,0,0,0
410159504004126,159,0,0,0,0,0
410159504004127,162,1,0,0,1,5
410159504004128,162,6,23,0,2,62
410159504004129,162,5,10,0,0,25
410159504004130,161,0,0,0,0,0
410159504004131,161,2,5,1,0,15
410159504004135,159,1,2,0,3,17
